candidate_id,rank,score,reasoning
CAND_0046525,1,0.5472,"Senior Machine Learning Engineer with 6.1 years exp. Semantic Capability Match is 0.44 (75% skill coverage, title match: 0.62) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0068351,2,0.5414,"Lead AI Engineer with 6.4 years exp. Semantic Capability Match is 0.43 (75% skill coverage, title match: 0.63) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0055905,3,0.5184,"Senior Machine Learning Engineer with 8.1 years exp. Semantic Capability Match is 0.39 (75% skill coverage, title match: 0.62) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0061257,4,0.5097,"Staff Machine Learning Engineer with 8.0 years exp. Semantic Capability Match is 0.37 (75% skill coverage, title match: 0.48) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0022852,5,0.5091,"AI Research Engineer with 5.4 years exp. Semantic Capability Match is 0.37 (50% skill coverage, title match: 0.65) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0025640,6,0.5091,"AI Research Engineer with 5.6 years exp. Semantic Capability Match is 0.37 (50% skill coverage, title match: 0.65) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0088025,7,0.5083,"Staff Machine Learning Engineer with 8.6 years exp. Semantic Capability Match is 0.37 (75% skill coverage, title match: 0.48) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0030031,8,0.5066,"AI Engineer with 5.7 years exp. Semantic Capability Match is 0.36 (50% skill coverage, title match: 0.70) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0079387,9,0.5066,"AI Engineer with 6.9 years exp. Semantic Capability Match is 0.36 (50% skill coverage, title match: 0.70) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0077337,10,0.5063,"Staff Machine Learning Engineer with 7.0 years exp. Semantic Capability Match is 0.36 (75% skill coverage, title match: 0.48) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0053527,11,0.5055,"Junior ML Engineer with 7.0 years exp. Semantic Capability Match is 0.36 (50% skill coverage, title match: 0.62) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0004402,12,0.5003,"AI Research Engineer with 6.0 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0033179,13,0.5003,"AI Research Engineer with 6.9 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0001218,14,0.4976,"AI Specialist with 6.4 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.54) [Depth bonus applied]. Behavioral signals: High response rate"
